State,MCAT CPBS Mean,MCAT CPBS SD,MCAT CARS Mean,MCAT CARS SD,MCAT BBLS Mean,MCAT BBLS SD,MCAT PSBB Mean,MCAT PSBB  SD,"Total MCAT Mean",Total MCAT SD,GPA Science Mean,GPA Science SD,GPA Non-Science Mean,GPA Non-Science SD,GPA Total Mean,GPA Total SD,"Total Applicants"
Connecticut,127.1,2.5,126.5,2.7,127.5,2.5,127.9,2.6,508.9,8.7,3.52,0.37,3.73,0.26,3.61,0.30,574
Delaware,126.7,2.9,126.2,2.6,126.9,2.7,127.6,2.6,507.4,9.2,3.52,0.40,3.74,0.25,3.62,0.30,115
District of Columbia,126.7,2.8,126.5,3.1,127.1,2.8,127.8,3.0,508.1,9.9,3.41,0.44,3.64,0.32,3.52,0.35,118
Maine,126.2,2.5,126.6,2.6,126.9,2.7,127.3,2.7,507.0,8.8,3.54,0.35,3.75,0.20,3.63,0.25,103
Maryland,126.8,2.9,126.1,2.8,127.1,2.8,127.5,2.8,507.5,9.7,3.44,0.45,3.72,0.28,3.56,0.35,"1,169"
Massachusetts,127.3,2.6,126.9,2.6,127.7,2.5,128.2,2.4,510.1,8.3,3.55,0.36,3.72,0.25,3.62,0.29,"1,311"
New Hampshire,126.9,2.5,127.0,2.4,127.5,2.3,127.9,2.3,509.4,7.5,3.57,0.35,3.74,0.24,3.65,0.27,119
New Jersey,127.0,2.7,126.1,2.6,127.3,2.6,127.7,2.6,508.1,8.9,3.49,0.44,3.73,0.26,3.59,0.34,"1,892"
New York,126.7,2.8,125.9,2.8,127.0,2.8,127.5,2.8,507.1,9.5,3.46,0.43,3.71,0.28,3.57,0.33,"3,459"
Pennsylvania,127.0,2.6,126.2,2.6,127.3,2.5,127.7,2.5,508.1,8.4,3.54,0.37,3.76,0.25,3.63,0.29,"1,643"
Rhode Island,127.1,3.2,126.9,2.5,127.6,2.7,128.0,2.7,509.5,9.6,3.53,0.42,3.74,0.26,3.63,0.31,91
Vermont,126.2,2.2,126.5,2.6,126.9,2.5,127.6,2.4,507.2,7.7,3.56,0.34,3.69,0.31,3.61,0.30,82
Illinois,126.5,2.7,125.9,2.7,126.7,2.7,127.3,2.7,506.4,9.2,3.48,0.45,3.74,0.28,3.59,0.35,"2,132"
Indiana,126.6,2.7,125.9,2.6,126.8,2.5,127.2,2.7,506.5,8.8,3.56,0.42,3.78,0.27,3.66,0.33,743
Iowa,126.9,2.5,126.2,2.4,127.1,2.4,127.5,2.3,507.7,7.9,3.59,0.37,3.80,0.23,3.69,0.29,352
Kansas,126.1,2.6,125.8,2.6,126.5,2.5,127.1,2.5,505.6,8.4,3.56,0.39,3.77,0.28,3.65,0.31,545
Michigan,126.4,2.7,125.7,2.6,126.7,2.6,127.2,2.6,505.9,8.8,3.50,0.43,3.76,0.26,3.61,0.33,"2,003"
Minnesota,126.7,2.6,126.2,2.6,127.0,2.5,127.6,2.5,507.5,8.5,3.52,0.40,3.75,0.26,3.62,0.31,"1,002"
Missouri,126.3,2.8,125.9,2.7,126.7,2.7,127.2,2.6,506.1,9.0,3.59,0.39,3.78,0.26,3.67,0.30,733
Nebraska,126.3,2.5,126.0,2.6,126.9,2.4,127.2,2.4,506.3,8.2,3.58,0.39,3.81,0.26,3.69,0.31,324
North Dakota,125.7,2.6,124.7,2.4,125.7,2.5,126.4,2.6,502.4,8.4,3.58,0.37,3.80,0.27,3.68,0.30,117
Ohio,126.6,2.7,126.1,2.6,126.7,2.6,127.2,2.7,506.6,8.8,3.50,0.41,3.79,0.26,3.62,0.32,"1,676"
South Dakota,126.1,2.5,125.8,2.2,126.6,2.3,126.7,2.2,505.1,7.2,3.59,0.38,3.83,0.22,3.69,0.29,152
Wisconsin,126.8,2.6,126.2,2.5,127.1,2.5,127.7,2.5,507.8,8.3,3.54,0.39,3.76,0.25,3.63,0.30,836
Alabama,125.8,2.6,125.8,2.6,126.1,2.5,126.6,2.5,504.3,8.5,3.57,0.41,3.79,0.27,3.66,0.32,602
Arkansas,125.4,2.8,125.6,2.7,125.8,2.8,126.5,2.8,503.4,9.4,3.54,0.41,3.77,0.29,3.64,0.33,374
Florida,126.0,2.7,125.4,2.7,126.3,2.7,126.9,2.7,504.5,9.2,3.47,0.43,3.73,0.28,3.58,0.34,"3,468"
Georgia,125.8,2.9,125.4,2.8,126.1,2.9,126.6,2.9,503.8,9.9,3.46,0.43,3.71,0.30,3.57,0.34,"1,688"
Kentucky,125.8,2.5,125.8,2.6,126.2,2.5,126.8,2.5,504.5,8.2,3.52,0.41,3.82,0.25,3.65,0.31,624
Louisiana,125.2,2.6,125.2,2.6,125.9,2.5,126.2,2.6,502.5,8.4,3.46,0.45,3.75,0.28,3.58,0.35,838
Mississippi,124.8,2.6,125.1,2.6,125.5,2.6,125.8,2.8,501.1,9.0,3.48,0.48,3.74,0.32,3.59,0.38,432
North Carolina,126.5,2.7,126.3,2.7,126.8,2.6,127.4,2.7,507.1,9.1,3.44,0.43,3.70,0.29,3.56,0.34,"1,244"
Oklahoma,125.7,2.6,125.6,2.5,126.2,2.6,126.7,2.6,504.2,8.5,3.56,0.42,3.81,0.23,3.67,0.31,457
Puerto Rico,123.6,2.4,122.7,2.4,124.2,2.5,124.0,2.6,494.4,8.4,3.32,0.48,3.73,0.29,3.49,0.38,621
South Carolina,125.1,2.6,125.3,2.5,125.6,2.6,126.3,2.7,502.4,8.6,3.53,0.39,3.76,0.25,3.63,0.30,674
Tennessee,125.5,2.7,125.7,2.7,126.0,2.6,126.6,2.7,503.8,9.1,3.47,0.45,3.73,0.31,3.59,0.36,844
Texas,126.3,2.8,125.8,2.7,126.5,2.7,127.0,2.7,505.6,9.2,3.51,0.41,3.74,0.28,3.60,0.33,"4,888"
Virginia,126.5,2.6,126.2,2.6,127.0,2.6,127.6,2.6,507.2,8.8,3.45,0.42,3.69,0.28,3.55,0.34,"1,423"
West Virginia,125.3,2.5,125.1,2.4,125.5,2.5,125.8,2.5,501.6,8.0,3.52,0.42,3.81,0.26,3.64,0.32,267
Alaska,125.7,2.7,126.3,2.8,126.1,2.5,127.1,2.6,505.1,9.0,3.44,0.38,3.67,0.29,3.53,0.30,89
Arizona,125.9,2.6,125.7,2.6,126.3,2.6,126.9,2.5,504.8,8.5,3.52,0.41,3.76,0.26,3.63,0.31,912
California,127.1,2.7,126.1,2.7,127.4,2.7,127.7,2.7,508.4,9.2,3.46,0.42,3.69,0.28,3.55,0.33,"6,652"
Colorado,126.7,2.6,126.3,2.6,127.1,2.5,127.5,2.5,507.6,8.4,3.54,0.37,3.73,0.28,3.62,0.31,762
Hawaii,126.4,2.9,125.3,2.7,126.7,2.8,126.8,2.9,505.3,9.7,3.50,0.42,3.73,0.29,3.60,0.34,273
Idaho,126.5,2.6,126.0,2.7,126.9,2.5,127.1,2.6,506.5,8.6,3.56,0.36,3.78,0.24,3.66,0.28,209
Montana,126.0,2.5,126.5,2.4,126.7,2.6,127.1,2.5,506.3,8.1,3.53,0.40,3.76,0.24,3.62,0.30,134
Nevada,126.1,2.7,125.5,2.6,126.6,2.7,126.9,2.7,505.2,8.9,3.46,0.41,3.73,0.29,3.57,0.34,352
New Mexico,125.3,2.5,125.2,2.6,125.8,2.4,126.3,2.5,502.6,8.0,3.45,0.44,3.74,0.28,3.58,0.33,252
Oregon,126.8,2.5,126.6,2.5,127.2,2.4,127.8,2.3,508.4,7.7,3.51,0.40,3.72,0.28,3.60,0.32,554
Utah,127.2,2.4,126.5,2.4,127.3,2.4,127.6,2.3,508.6,7.8,3.55,0.38,3.77,0.24,3.65,0.28,651
Washington,126.8,2.6,126.3,2.6,127.2,2.6,127.5,2.6,507.7,8.5,3.44,0.40,3.70,0.28,3.55,0.32,"1,068"
Wyoming,126.0,2.5,125.8,2.6,126.6,2.6,127.1,2.8,505.6,8.6,3.56,0.39,3.72,0.29,3.63,0.32,65
