State,MCAT CPBS Mean,MCAT CPBS SD,MCAT CARS Mean,MCAT CARS SD,MCAT BBLS Mean,MCAT BBLS SD,MCAT PSBB Mean,MCAT PSBB  SD,"Total MCAT Mean",Total MCAT SD,GPA Science Mean,GPA Science SD,GPA Non-Science Mean,GPA Non-Science SD,GPA Total Mean,GPA Total SD,"Total Applicants"
Connecticut,126.8,2.8,126.2,2.7,127.3,2.7,127.8,2.7,508.0,9.6,3.50,0.41,3.73,0.26,3.60,0.32,710
Delaware,126.5,3.1,125.7,2.9,126.7,3.0,127.2,3.1,506.1,10.8,3.50,0.45,3.76,0.27,3.61,0.35,123
District of Columbia,125.7,3.2,125.9,3.1,126.4,3.2,127.3,3.2,505.4,11.2,3.33,0.48,3.58,0.30,3.45,0.35,122
Maine,126.5,2.8,126.5,2.7,127.1,2.9,127.6,2.9,507.7,9.6,3.51,0.37,3.73,0.28,3.60,0.32,101
Maryland,126.6,2.9,125.9,3.0,127.0,2.9,127.4,2.9,506.9,10.2,3.43,0.47,3.72,0.29,3.55,0.37,"1,449"
Massachusetts,127.2,2.7,126.5,2.7,127.6,2.7,128.2,2.6,509.5,9.3,3.54,0.39,3.73,0.26,3.62,0.31,"1,550"
New Hampshire,126.8,2.6,126.7,2.4,127.3,2.5,128.2,2.4,508.9,8.2,3.57,0.37,3.73,0.27,3.63,0.31,162
New Jersey,126.8,2.8,125.9,2.6,127.1,2.8,127.6,2.7,507.4,9.4,3.46,0.46,3.73,0.28,3.58,0.35,"2,228"
New York,126.5,2.9,125.6,2.9,126.8,2.9,127.4,2.9,506.4,10.1,3.45,0.44,3.70,0.29,3.56,0.34,"4,142"
Pennsylvania,126.7,2.9,126.0,2.7,127.1,2.8,127.5,2.8,507.2,9.6,3.51,0.41,3.76,0.25,3.62,0.32,"1,912"
Rhode Island,126.6,2.9,126.5,2.4,127.1,2.9,128.0,2.5,508.3,9.2,3.60,0.36,3.80,0.24,3.69,0.28,136
Vermont,126.4,2.6,126.9,2.6,127.3,2.6,127.8,2.4,508.4,8.4,3.53,0.37,3.68,0.26,3.60,0.29,93
Illinois,126.4,2.9,125.7,2.7,126.6,2.8,127.4,2.8,506.1,9.5,3.49,0.45,3.75,0.29,3.60,0.35,"2,476"
Indiana,126.5,2.7,125.9,2.6,126.6,2.7,127.3,2.7,506.2,9.0,3.58,0.40,3.80,0.24,3.68,0.31,938
Iowa,126.9,2.6,126.2,2.4,127.2,2.6,127.8,2.5,508.1,8.2,3.58,0.37,3.78,0.25,3.68,0.30,368
Kansas,126.0,2.6,125.7,2.6,126.5,2.5,127.0,2.5,505.2,8.6,3.58,0.40,3.80,0.28,3.67,0.32,595
