State,MCAT CPBS Mean,MCAT CPBS SD,MCAT CARS Mean,MCAT CARS SD,MCAT BBLS Mean,MCAT BBLS SD,MCAT PSBB Mean,MCAT PSBB  SD,"Total MCAT Mean",Total MCAT SD,GPA Science Mean,GPA Science SD,GPA Non-Science Mean,GPA Non-Science SD,GPA Total Mean,GPA Total SD,"Total Applicants"
Michigan,126.2,2.8,125.5,2.7,126.5,2.8,127.2,2.7,505.3,9.4,3.49,0.44,3.75,0.27,3.61,0.34,"2,280"
Minnesota,126.4,2.7,126.0,2.7,126.8,2.7,127.4,2.7,506.6,9.2,3.48,0.42,3.74,0.27,3.60,0.32,"1,198"
Missouri,126.1,2.8,125.7,2.6,126.5,2.7,127.2,2.7,505.5,9.1,3.58,0.39,3.79,0.25,3.67,0.30,921
Nebraska,126.4,2.5,125.8,2.4,127.0,2.3,127.3,2.6,506.6,7.8,3.60,0.37,3.84,0.22,3.71,0.28,321
North Dakota,125.0,2.6,124.6,2.3,125.5,2.6,126.1,2.6,501.2,8.5,3.57,0.42,3.82,0.26,3.68,0.31,123
Ohio,126.5,2.8,125.8,2.7,126.7,2.7,127.3,2.7,506.4,9.3,3.50,0.42,3.79,0.25,3.62,0.33,"1,891"
South Dakota,125.7,2.6,125.5,2.3,126.4,2.4,126.8,2.5,504.4,8.0,3.53,0.43,3.78,0.30,3.65,0.34,154
Wisconsin,126.8,2.6,126.1,2.5,127.0,2.6,127.7,2.5,507.6,8.6,3.54,0.39,3.77,0.26,3.64,0.31,924
Alabama,125.7,2.7,125.5,2.5,126.3,2.6,126.8,2.6,504.4,8.7,3.56,0.40,3.81,0.24,3.67,0.30,701
Arkansas,125.3,2.7,125.4,2.5,125.8,2.8,126.5,2.7,503.0,9.2,3.56,0.41,3.80,0.28,3.66,0.32,399
Florida,125.8,2.9,125.2,2.7,126.2,2.9,126.9,2.9,504.1,9.8,3.45,0.44,3.74,0.28,3.58,0.35,"4,248"
Georgia,125.6,2.9,125.2,2.8,125.9,2.9,126.6,2.9,503.2,10.1,3.43,0.45,3.71,0.31,3.55,0.36,"2,085"
Kentucky,125.4,2.6,125.7,2.5,126.0,2.5,126.8,2.6,503.9,8.4,3.50,0.43,3.80,0.28,3.63,0.33,655
Louisiana,125.1,2.6,124.9,2.6,125.6,2.6,126.2,2.7,501.8,8.8,3.42,0.49,3.72,0.33,3.54,0.39,911
Mississippi,124.7,2.9,124.7,2.7,125.2,2.7,125.8,2.9,500.4,9.5,3.46,0.48,3.74,0.34,3.59,0.39,478
North Carolina,126.3,2.9,126.0,2.8,126.7,2.8,127.3,2.8,506.3,9.7,3.43,0.45,3.71,0.28,3.56,0.34,"1,520"
Oklahoma,125.5,2.8,125.3,2.6,126.0,2.9,126.7,2.8,503.6,9.5,3.56,0.41,3.81,0.24,3.68,0.30,489
Puerto Rico,123.7,2.7,122.5,2.4,124.2,2.9,124.1,2.9,494.5,9.5,3.34,0.50,3.75,0.30,3.51,0.38,694
South Carolina,125.3,2.8,125.5,2.7,126.0,2.8,126.6,2.8,503.4,9.5,3.50,0.44,3.75,0.29,3.61,0.34,767
Tennessee,125.4,2.9,125.5,2.7,125.9,2.8,126.6,2.8,503.4,9.7,3.47,0.47,3.75,0.30,3.59,0.37,"1,052"
Texas,126.0,2.9,125.5,2.8,126.4,2.9,127.0,2.8,504.9,9.8,3.51,0.42,3.75,0.28,3.60,0.34,"5,894"
Virginia,126.4,2.9,126.0,2.8,126.8,2.8,127.7,2.7,506.8,9.6,3.46,0.42,3.71,0.29,3.56,0.34,"1,648"
West Virginia,125.4,2.5,125.2,2.6,125.8,2.6,126.4,2.8,502.8,8.6,3.52,0.41,3.79,0.28,3.63,0.32,256
Alaska,126.3,2.6,126.3,2.4,126.7,2.4,127.6,2.5,506.9,8.0,3.45,0.41,3.71,0.29,3.55,0.33,94
Arizona,125.8,2.8,125.5,2.6,126.3,2.8,126.9,2.7,504.5,9.2,3.52,0.42,3.77,0.27,3.63,0.32,"1,077"
California,126.9,2.9,125.9,2.8,127.2,2.8,127.7,2.7,507.8,9.7,3.44,0.44,3.70,0.29,3.54,0.35,"7,940"
Colorado,126.7,2.6,126.2,2.6,127.2,2.5,127.7,2.6,507.9,8.7,3.52,0.41,3.74,0.29,3.61,0.33,947
Hawaii,126.3,2.7,125.4,2.6,126.8,2.7,127.0,2.9,505.6,9.4,3.46,0.41,3.76,0.25,3.59,0.31,287
Idaho,126.4,2.5,126.2,2.5,126.9,2.4,127.4,2.4,506.9,8.0,3.57,0.35,3.79,0.24,3.67,0.27,226
Montana,126.0,2.5,125.9,2.7,126.7,2.7,126.7,2.8,505.3,9.1,3.53,0.41,3.75,0.31,3.61,0.33,134
Nevada,125.8,2.7,125.2,2.5,126.5,2.6,126.9,2.6,504.4,8.8,3.44,0.46,3.73,0.29,3.56,0.35,402
New Mexico,125.5,2.4,125.1,2.6,126.0,2.5,126.4,2.5,503.0,8.3,3.48,0.43,3.75,0.28,3.60,0.35,271
Oregon,126.7,2.5,126.3,2.6,127.2,2.5,127.8,2.4,507.9,8.4,3.52,0.40,3.75,0.26,3.61,0.31,656
Utah,127.1,2.5,126.5,2.5,127.3,2.3,127.8,2.4,508.6,8.0,3.57,0.38,3.78,0.25,3.66,0.30,712
Washington,126.8,2.8,126.1,2.8,127.0,2.7,127.4,2.8,507.2,9.4,3.42,0.42,3.70,0.28,3.54,0.33,"1,352"
Wyoming,126.0,2.5,125.6,2.6,126.9,2.2,127.4,2.4,505.9,7.9,3.66,0.32,3.82,0.19,3.72,0.26,65
