State,MCAT CPBS Mean,MCAT CPBS SD,MCAT CARS Mean,MCAT CARS SD,MCAT BBLS Mean,MCAT BBLS SD,MCAT PSBB Mean,MCAT PSBB SD,"Total MCAT Mean",Total MCAT SD,GPA Science Mean,GPA Science SD,GPA Non-Science Mean,GPA Non-Science SD,GPA Total Mean,GPA Total SD,"Total Matriculants"
Connecticut,128.2,1.8,127.5,2.1,128.6,1.8,129.1,1.8,"513.4",5.2,3.66,0.27,3.81,0.18,3.73,0.21,"297"
Delaware,128.1,2.1,127.3,2.3,128.4,1.9,128.8,1.8,"512.6",6.3,3.67,0.26,3.81,0.19,3.73,0.21,"56"
District of Columbia,127.6,2.2,127.7,2.5,128.1,1.9,129.1,1.8,"512.6",6.3,3.54,0.39,3.78,0.18,3.65,0.28,"65"
Maine,127.8,1.7,127.9,2.4,128.5,1.9,129.0,1.7,"513.2",5.2,3.69,0.24,3.79,0.20,3.72,0.20,"46"
Maryland,128.2,2.1,127.2,2.2,128.4,2.0,129.0,1.9,"512.8",6.0,3.63,0.30,3.81,0.20,3.71,0.24,"540"
Massachusetts,128.4,2.0,127.8,2.1,128.8,1.9,129.3,1.7,"514.3",5.5,3.66,0.29,3.78,0.22,3.71,0.24,"648"
New Hampshire,128.5,1.5,128.0,2.3,128.8,1.9,129.1,1.7,"514.4",4.9,3.69,0.25,3.82,0.14,3.75,0.19,"48"
New Jersey,128.3,2.0,127.2,2.1,128.6,1.9,129.0,1.8,"513.1",5.7,3.67,0.30,3.81,0.21,3.73,0.23,"916"
New York,128.1,2.0,127.2,2.3,128.4,1.9,129.0,1.8,"512.7",5.8,3.62,0.31,3.79,0.21,3.69,0.24,"1,618"
Pennsylvania,128.2,2.0,127.3,2.1,128.5,1.9,129.0,1.7,"513.0",5.6,3.68,0.27,3.82,0.20,3.74,0.22,"805"
Rhode Island,128.6,2.2,127.9,1.9,128.5,2.1,129.4,1.8,"514.4",5.8,3.63,0.36,3.81,0.21,3.72,0.26,"52"
Vermont,127.0,1.7,127.1,2.2,127.6,2.1,128.3,2.2,"509.9",6.0,3.59,0.32,3.68,0.33,3.62,0.31,"51"
Illinois,127.9,2.1,127.0,2.3,128.1,2.0,128.7,2.0,"511.7",6.4,3.65,0.33,3.82,0.21,3.73,0.26,"954"
Indiana,128.2,2.0,127.1,2.0,128.2,1.9,128.7,1.8,"512.2",5.3,3.75,0.27,3.87,0.18,3.80,0.21,"366"
Iowa,128.2,1.9,127.3,2.0,128.5,1.8,128.7,1.6,"512.7",5.0,3.76,0.25,3.87,0.14,3.81,0.18,"141"
Kansas,127.5,2.1,127.0,2.3,128.0,1.9,128.6,1.9,"511.1",5.7,3.75,0.27,3.85,0.21,3.79,0.23,"236"
