State,MCAT CPBS Mean,MCAT CPBS SD,MCAT CARS Mean,MCAT CARS SD,MCAT BBLS Mean,MCAT BBLS SD,MCAT PSBB Mean,MCAT PSBB SD,"Total MCAT Mean",Total MCAT SD,GPA Science Mean,GPA Science SD,GPA Non-Science Mean,GPA Non-Science SD,GPA Total Mean,GPA Total SD,"Total Matriculants"
Michigan,127.8,2.2,126.7,2.3,127.9,2.0,128.6,2.0,"511.0",6.4,3.67,0.31,3.83,0.20,3.74,0.25,"842"
Minnesota,127.9,2.0,127.1,2.2,128.2,1.9,128.7,1.8,"511.9",5.7,3.68,0.29,3.84,0.17,3.75,0.22,"412"
Missouri,127.7,2.2,127.1,2.4,128.0,2.0,128.5,2.0,"511.3",6.1,3.75,0.24,3.86,0.21,3.80,0.20,"326"
Nebraska,127.6,1.8,127.3,2.0,128.3,1.6,128.5,1.6,"511.7",4.5,3.76,0.24,3.89,0.17,3.82,0.18,"152"
North Dakota,127.0,2.3,125.6,2.3,127.2,2.0,127.5,2.3,"507.3",6.5,3.75,0.27,3.87,0.19,3.79,0.23,"55"
Ohio,127.8,2.2,127.1,2.3,127.8,2.1,128.4,2.2,"511.1",6.8,3.66,0.33,3.84,0.22,3.73,0.26,"735"
South Dakota,127.2,2.3,126.5,2.1,127.6,1.9,127.6,1.9,"508.8",5.8,3.73,0.30,3.88,0.16,3.80,0.22,"75"
Wisconsin,128.0,2.1,127.1,2.2,128.1,2.0,128.7,1.8,"511.8",6.0,3.68,0.29,3.82,0.20,3.74,0.23,"375"
Alabama,126.9,2.2,126.8,2.2,127.1,2.1,127.9,2.1,"508.6",6.6,3.72,0.31,3.87,0.18,3.78,0.23,"267"
Arkansas,126.9,2.2,126.6,2.4,127.3,2.1,128.0,2.0,"508.7",6.6,3.71,0.30,3.87,0.18,3.78,0.23,"199"
Florida,127.7,2.1,126.8,2.3,128.0,2.0,128.7,1.9,"511.2",6.0,3.67,0.32,3.82,0.22,3.73,0.26,"1,189"
Georgia,127.4,2.3,126.6,2.4,127.6,2.2,128.2,2.2,"509.7",7.2,3.64,0.34,3.79,0.24,3.71,0.27,"672"
Kentucky,126.7,2.2,126.4,2.4,127.2,2.1,127.6,2.1,"507.9",6.7,3.67,0.30,3.87,0.19,3.75,0.23,"331"
Louisiana,126.6,2.0,126.2,2.3,127.2,2.1,127.5,2.0,"507.5",6.0,3.64,0.34,3.83,0.20,3.72,0.26,"402"
Mississippi,126.1,2.2,126.1,2.4,126.8,2.0,127.2,2.3,"506.3",6.8,3.72,0.32,3.88,0.19,3.79,0.24,"189"
North Carolina,127.8,2.1,127.4,2.3,128.1,1.9,128.7,1.9,"512.0",6.1,3.58,0.35,3.77,0.25,3.67,0.27,"533"
Oklahoma,127.1,2.0,126.8,2.2,127.7,1.9,128.2,1.9,"509.8",5.2,3.74,0.27,3.86,0.19,3.79,0.21,"194"
Puerto Rico,124.9,1.9,123.6,2.3,125.5,2.0,125.3,2.2,"499.2",6.2,3.53,0.35,3.83,0.18,3.66,0.26,"349"
South Carolina,126.5,2.2,126.4,2.2,127.0,1.9,127.9,1.9,"507.9",5.4,3.68,0.30,3.83,0.20,3.74,0.23,"318"
Tennessee,127.2,2.3,126.9,2.4,127.7,2.1,128.2,2.0,"510.0",6.6,3.64,0.35,3.82,0.22,3.72,0.26,"347"
Texas,127.9,2.1,127.0,2.3,128.1,2.0,128.6,2.0,"511.6",6.3,3.70,0.30,3.84,0.20,3.77,0.22,"1,852"
Virginia,127.9,2.1,127.4,2.2,128.4,1.9,129.0,1.7,"512.7",5.7,3.63,0.33,3.78,0.21,3.70,0.26,"563"
West Virginia,126.4,2.0,125.9,2.0,126.6,2.2,126.8,2.1,"505.7",5.9,3.65,0.32,3.86,0.21,3.74,0.26,"147"
Alaska,126.9,2.5,128.1,2.0,127.0,2.3,128.6,1.9,"510.6",6.8,3.61,0.31,3.76,0.28,3.67,0.26,"32"
Arizona,127.5,2.1,126.9,2.3,128.0,2.0,128.4,1.9,"510.8",6.0,3.71,0.28,3.85,0.17,3.77,0.21,"310"
California,128.4,2.0,127.3,2.2,128.7,1.8,129.1,1.8,"513.5",5.7,3.65,0.30,3.78,0.22,3.70,0.24,"2,706"
Colorado,128.1,1.9,127.4,2.1,128.4,1.8,128.9,1.9,"512.8",5.5,3.70,0.27,3.81,0.22,3.74,0.22,"274"
Hawaii,128.3,2.0,126.8,2.2,128.5,1.8,128.7,1.9,"512.4",5.6,3.72,0.28,3.82,0.20,3.77,0.23,"106"
Idaho,127.7,2.5,126.9,2.7,128.2,2.0,128.6,2.0,"511.4",7.0,3.75,0.26,3.86,0.17,3.80,0.20,"84"
Montana,126.7,2.4,127.4,2.1,127.5,2.2,128.3,2.1,"510.0",6.5,3.64,0.36,3.84,0.18,3.72,0.26,"61"
Nevada,127.5,2.2,126.5,2.4,128.0,2.2,128.2,2.2,"510.3",6.5,3.62,0.36,3.79,0.29,3.68,0.31,"148"
New Mexico,126.1,2.3,126.0,2.7,126.6,2.3,127.3,2.4,"506.0",7.7,3.64,0.33,3.84,0.21,3.73,0.24,"113"
Oregon,127.7,2.0,127.3,2.2,127.9,2.0,128.9,1.8,"511.8",6.0,3.65,0.33,3.80,0.25,3.72,0.27,"194"
Utah,128.5,1.9,127.6,2.2,128.5,1.9,128.9,1.9,"513.4",5.8,3.71,0.25,3.84,0.17,3.77,0.20,"239"
Washington,127.9,2.1,127.3,2.4,128.3,2.1,128.8,1.9,"512.2",6.2,3.62,0.28,3.81,0.18,3.70,0.21,"425"
Wyoming,126.7,2.2,126.3,2.1,127.7,2.2,128.1,2.6,"508.8",7.2,3.59,0.42,3.74,0.32,3.65,0.37,"32"
