Matriculants,"American Indian or Alaska Native",Asian,"Black or African American","Hispanic, Latino, or of Spanish Origin ","Native Hawaiian or Other Pacific Islander",White,Other,"Multiple Race/Ethnicity","Unknown Race/Ethnicity",Non-U.S. Citizen and Non-Permanent Resident,Total
MCAT CPBS Mean,124.9,128.7,126.1,126.4,126.8,127.9,128.1,127.4,128.3,128.4,127.8
MCAT CPBS SD,2.4,2.0,2.2,2.3,2.5,2.1,2.1,2.3,2.1,2.2,2.3
MCAT CARS Mean,125,127.3,125.5,125.4,125.8,127.4,126.5,126.8,127.7,126.6,127.0
MCAT CARS SD,2.7,2.2,2.3,2.5,2.0,2.2,2.3,2.4,2.1,2.4,2.4
MCAT BBLS Mean,125.5,128.8,126.5,126.9,126.9,128.2,128.3,127.8,128.5,128.6,128.1
MCAT BBLS SD,1.9,1.9,2.1,2.3,2.2,2.0,1.9,2.2,2.0,2.0,2.1
MCAT PSBB Mean,126.7,129.5,127.6,127.6,127.7,129.0,129.0,128.6,129.1,129.1,128.9
MCAT PSBB SD,1.8,1.8,2.1,2.4,1.7,1.9,1.9,2.1,1.9,1.9,2.0
Total MCAT Mean,502.2,514.3,505.7,506.4,507.3,512.4,511.9,510.6,513.6,512.7,511.7
Total MCAT SD,6.8,6.0,6.6,7.6,7.1,6.2,6.0,6.9,5.9,6.6,6.9
GPA Science Mean,3.47,3.78,3.46,3.57,3.56,3.75,3.74,3.65,3.74,3.74,3.71
GPA Science SD,0.46,0.25,0.40,0.34,0.40,0.26,0.26,0.32,0.26,0.27,0.30
GPA Non-Science Mean,3.79,3.89,3.74,3.79,3.79,3.87,3.88,3.83,3.86,3.83,3.85
GPA Non-Science SD,0.21,0.16,0.26,0.24,0.22,0.18,0.15,0.22,0.19,0.20,0.20
GPA Total Mean,3.64,3.83,3.59,3.66,3.65,3.80,3.80,3.73,3.80,3.77,3.77
GPA Total SD,0.28,0.19,0.31,0.27,0.29,0.20,0.20,0.26,0.21,0.22,0.23
Total Matriculants,36,"5,901","1,845","1,493",19,"9,534",483,"2,726",657,287,"22,981"
